column_name,value,count,percentage
product_id,B07JW9H4J1,3,0.2048
product_id,B085DTN6R2,3,0.2048
product_id,B07XLCFSSN,3,0.2048
product_id,B077Z65HSD,3,0.2048
product_id,B09W5XR9RT,3,0.2048
product_id,B082T6V3DT,3,0.2048
product_id,B09NHVCHS9,3,0.2048
product_id,B09YLXYP7Y,3,0.2048
product_id,B09C6HXFC1,3,0.2048
product_id,B08R69VDHT,3,0.2048
product_name,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",5,0.3413
product_name,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",4,0.273
product_name,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",3,0.2048
product_name,MI Braided USB Type-C Cable for Charging Adapter (Red),3,0.2048
product_name,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",3,0.2048
product_name,"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",3,0.2048
product_name,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",3,0.2048
product_name,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",3,0.2048
product_name,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",3,0.2048
product_name,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",3,0.2048
category,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,233,15.9044
category,Electronics|WearableTechnology|SmartWatches,76,5.1877
category,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,68,4.6416
category,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",63,4.3003
category,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",52,3.5495
category,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",49,3.3447
category,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,27,1.843
category,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",24,1.6382
category,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",24,1.6382
category,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",24,1.6382
discounted_price,₹199,53,3.6177
discounted_price,₹299,46,3.1399
discounted_price,₹399,36,2.4573
discounted_price,₹499,34,2.3208
discounted_price,₹349,31,2.116
discounted_price,₹599,28,1.9113
discounted_price,"₹1,499",26,1.7747
discounted_price,₹999,25,1.7065
discounted_price,"₹1,199",23,1.57
discounted_price,"₹1,799",21,1.4334
actual_price,₹999,120,8.1911
actual_price,₹499,71,4.8464
actual_price,"₹1,999",56,3.8225
actual_price,"₹1,499",37,2.5256
actual_price,₹399,34,2.3208
actual_price,₹599,33,2.2526
actual_price,₹699,29,1.9795
actual_price,₹799,24,1.6382
actual_price,"₹2,999",22,1.5017
actual_price,"₹1,299",21,1.4334
discount_percentage,50%,56,3.8225
discount_percentage,60%,56,3.8225
discount_percentage,0%,49,3.3447
discount_percentage,80%,37,2.5256
discount_percentage,55%,36,2.4573
discount_percentage,38%,34,2.3208
discount_percentage,62%,32,2.1843
discount_percentage,43%,32,2.1843
discount_percentage,65%,31,2.116
discount_percentage,28%,30,2.0478
rating,4.1,244,16.6553
rating,4.3,230,15.6997
rating,4.2,228,15.5631
rating,4.0,129,8.8055
rating,3.9,123,8.3959
rating,4.4,123,8.3959
rating,3.8,86,5.8703
rating,4.5,75,5.1195
rating,4,52,3.5495
rating,3.7,42,2.8669
rating_count,"9,378",9,0.6143
rating_count,"18,998",8,0.5461
rating_count,"24,269",7,0.4778
rating_count,"43,994",6,0.4096
rating_count,"32,840",5,0.3413
rating_count,"13,937",5,0.3413
rating_count,"1,423",5,0.3413
rating_count,"13,552",5,0.3413
rating_count,"1,075",5,0.3413
rating_count,"19,252",5,0.3413
about_product,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",6,0.4096
about_product,Added Protection: An additional layer of protection has been added to the Lightning and USB ends to improve durability and reduce fraying;,5,0.3413
about_product,"Bluetooth Calling- Wave Call comes with a premium built-in speaker and bluetooth calling via which you can stay connected to your friends, family, and colleagues|Dial Pad- Its dial pad is super responsive and convenient. You can also save upto 10 contacts in this smart watch|Screen Size- Wave Call comes with a 1.69” HD Display that features a bold, bright, and highly responsive 2.5D curved touch interface|Resolution- With 550 nits of brightness get sharper color resolution that brightens your virtual world exponentially.|Design- The ultra slim and lightweight design of the watch is ideal to keep you surfing your wave all day!|Watch Faces- Wave Call comes with 150+ Cloud watchfaces for you to pick from, complementing your every mood and outfit|HR, SpO2 & Breathing- Monitor your heart rate and blood oxygen levels on-the-go with the heart rate and SpO2 monitor. It also comes with Guided Breathing to help you relax and embrace mindfulness.",5,0.3413
about_product,"The boAt Deuce USB 300 2 in 1 cable is compatible with smartphones, tablets, PC peripherals, Bluetooth speakers, power banks and all other devices with Type-C as well as Micro USB port|It ensures 3A fast charging and data transmissions with rapid sync at 480 mbps|The premium Nylon braided skin makes it sturdy and invincible against external damage|Its Aluminium alloy shell housing makes it last longer with 10000+ Bends Lifespan with extended frame protection for strain relief|The resilient and flexible design offers a tangle free experience seamlessly|Deuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience|2 years warranty from the date of purchase",4,0.273
