column_name,dtype,total_rows,non_missing_count,missing_count,missing_percentage,unique_values,unique_percentage,dominant_value,dominant_count,dominant_percentage,is_numeric,is_constant,is_binary,is_low_cardinality,is_high_cardinality,is_dominated_by_one_value
product_id,object,1465,1465,0,0.0,1351,92.2184,B07JW9H4J1,3,0.2048,False,False,False,False,True,False
product_name,object,1465,1465,0,0.0,1337,91.2628,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",5,0.3413,False,False,False,False,True,False
category,object,1465,1465,0,0.0,211,14.4027,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,233,15.9044,False,False,False,False,True,False
discounted_price,object,1465,1465,0,0.0,550,37.5427,₹199,53,3.6177,False,False,False,False,True,False
actual_price,object,1465,1465,0,0.0,449,30.6485,₹999,120,8.1911,False,False,False,False,True,False
discount_percentage,object,1465,1465,0,0.0,92,6.2799,50%,56,3.8225,False,False,False,False,True,False
rating,object,1465,1465,0,0.0,28,1.9113,4.1,244,16.6553,False,False,False,False,False,False
rating_count,object,1465,1463,2,0.1365,1143,78.0205,"9,378",9,0.6143,False,False,False,False,True,False
about_product,object,1465,1465,0,0.0,1293,88.2594,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",6,0.4096,False,False,False,False,True,False
user_id,object,1465,1465,0,0.0,1194,81.5017,"AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,AE55KTFVNXYFD5FPYWP2OUPEYNPQ,AEBWA5I4QFCA3P3OBEPMELBGN4GQ,AHMGAC6QM62UXNEOCZIHLHSXPP2Q,AFHROSCGIXUPV3FYQ7H5QOD46Q7Q,AEAMIR3CMSA32IDEINSJKHRNANTA,AF355FTXYAKFH5NYPRTE7SL3WO3Q,AG5DWPD54QGSLWJ6QUFERLPNAX4Q",10,0.6826,False,False,False,False,True,False
user_name,object,1465,1465,0,0.0,1194,81.5017,"$@|\|TO$|-|,Sethu madhav,Akash Thakur,Burger Planet,Justice ⚖️,indrajyoti d.,Aditya Kumar,E.C.GEORGE",10,0.6826,False,False,False,False,True,False
review_id,object,1465,1465,0,0.0,1194,81.5017,"R3F4T5TRYPTMIG,R3DQIEC603E7AY,R1O4Z15FD40PV5,RDVX50PD4CTFE,R3H6WKG0TA5CGU,R3Q3L1KP5QWPV3,RU0LU2PAIIME,R20FTANBPFA653",10,0.6826,False,False,False,False,True,False
review_title,object,1465,1465,0,0.0,1194,81.5017,"Worked on iPhone 7 and didn’t work on XR,Good one,Dull Physical Looks,Just Buy it,Go for it,About the product,Get charging cable at the price,Working well.",10,0.6826,False,False,False,False,True,False
review_content,object,1465,1465,0,0.0,1212,82.7304,"I am not big on camera usage, personally. I was even mentally prepared for a bad camera, based on some reviews here. But I was pleasantly surprised that camera clicks good photos. They are not awesome, but they are decent photos that can even be shared.Now coming to my biggest grouse; heating issue. The phone started heating up while charging, but it was just a little and so I could have ignored it. But then it started heating up more and got me very concerned. I even ordered a replacement thinking I got a defective piece. But then, after further tests, I found that it is heating more when I download huge amounts of data, for example, when I restore data of my old phone, from back up. This is ok with me as, I don't perform huge data loads regularly, definitely not on phone. Then I tested by running tasks I usually perform such as checking office mails, attending office meeting on phone, watching a video from Amazon Prime, and so on. The phone did not heat up even a little. Personally, this is good for me.At this price range, this is a good phone. But if you are camera heavy user and expect to perform heavy downloads frequently, this phone may not for you. I am personally satisfied with this phone as it works for my type of usage. I will not go into plus points of this phone as they are covered by other reviews already. I am only attempting to clarify about how this phone can suit you (or not) in terms of camera and heating. I had many questions about these aspects before buying. Perhaps this review will help you make an informed decision to buy (or avoid). Cheers.,Display - BeautyCamera - decentPerformance - AmazingBattery - ok (in 5000mah u expect more tbh)Overall good phone...Also after 1day of use, i found some network connectivity issue in my jiosim, which I'm using right now in this phone, but I'll keep update this review after 1month of usage!,It's a decent mobile under this price but few things worried me , weight of the phone, too many procedure to change some settings, no screen casting. Apart from that it has good touch, a decent camera for day light , battery life is good.,I bought this smartphone for my mom. Samusung interface is very handful for easy use. Battery is superb, last whole day. Camera is mediocre but provide original colour pictures. All in all satisfied with this smartphone that i got in sale for 9499.,Unable to do video call within same service provider as in VOLTE within same service provider video call feature is available.,Product is fine.  Nothing Fancy but for the budget it is a good phone.,BATTERY : more than enough for normal use  Not sure in gamingCAMERA : good in this segment , can record  videos in FHD 30fpsDISPLAY : since it's a LCD display the quality is  a bit less , but goodV RAM : you can add upto 2gb of virtual ram  but have to sacrifice your storage  Space to use it  OVERALL A GOOD BUDGET PHONE,Finger print is working speedy battery backup is good camera quality is also good",8,0.5461,False,False,False,False,True,False
img_link,object,1465,1465,0,0.0,1412,96.3823,https://m.media-amazon.com/images/I/413sCRKobNL._SX300_SY300_QL70_ML2_.jpg,3,0.2048,False,False,False,False,True,False
product_link,object,1465,1465,0,0.0,1465,100.0,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,1,0.0683,False,False,False,False,True,False
