column_name,current_dtype,missing_count,unique_values,meaning_to_be_filled_by_user,unit_if_any,allowed_values_or_range,is_sensitive_yes_no,use_in_ml_yes_no,possible_target_yes_no,notes
product_id,object,0,1351,,,,,,,
product_name,object,0,1337,,,,,,,
category,object,0,211,,,,,,,
discounted_price,object,0,550,,,,,,,
actual_price,object,0,449,,,,,,,
discount_percentage,object,0,92,,,,,,,
rating,object,0,28,,,,,,,
rating_count,object,2,1143,,,,,,,
about_product,object,0,1293,,,,,,,
user_id,object,0,1194,,,,,,,
user_name,object,0,1194,,,,,,,
review_id,object,0,1194,,,,,,,
review_title,object,0,1194,,,,,,,
review_content,object,0,1212,,,,,,,
img_link,object,0,1412,,,,,,,
product_link,object,0,1465,,,,,,,
